"display_title" "opening_date" "publication_date" "url" "critics_pick" "review" "sentiment_score" "genre.x" "MPAA_rating" "distributor" "production_budget" "opening_weekend" "domestic_total_gross" "foreign_box_office" "widest_release_theaters" "release_date" "close_date" "in_release_days" "in_release_weeks"
The movie also examines — not always explicitly, and not entirely by design — the workings of a contemporary personality cult. Mr. Assange, who muses on his “god complex” and his capacity for martyrdom, likes to surround himself with disciples. Fidelity to the message melts into loyalty to the messenger, even if the message itself can sound a bit blurry. In one interview, Mr. Assange explains the need to balance principles and pragmatism, and in another he speaks of the necessity of a global outlook in trying to change the world. But he demurs when asked about the changes he would like to see come about, and never arrives at a clear articulation of principle. He insists on transparency while choosing to remain opaque.
It is appropriate, though not entirely satisfying, that “Risk” ends in a swirl of confusion. Events since Cannes have upended many of the arguments that the film might have clarified. The pressing empirical questions about Mr. Assange now have to do with the extent and nature of his intervention in the election. Those questions — about Russia, the F.B.I. and members of the Trump campaign — can’t yet be answered by a movie, much less a movie review. And the deeper historical and ideological questions that the film poses will also take a long time to work out.
The one that haunted me most goes something like this: What if some of the organizations and individuals that seemed, not so long ago, to be pushing liberal democracy to live up to its potential were actually contributing to its demise?" 0.969013671 "Documentary" "Not Yet Rated" "Neon" "" "$76,327 " "$200,219 " "" "70" "28-Dec-16" "13-Apr-17" "107" 15.3
"211" "Rock Dog" "2/24/2017" "2/23/2017" "http://www.nytimes.com/2017/02/23/movies/rock-dog-review.html" 0 "The title character of “Rock Dog” isn’t likely to end up on anyone’s Top 5 list of animated heroes, but the film does have a thoroughly enjoyable rocker in it. And an appealingly nasty wolf, too.
Bodi (the voice of Luke Wilson) is a mastiff who — as all young animated characters must — chafes at his assigned role in life, which is to guard the sheep on Snow Mountain. Blame radio. He has accidentally come into possession of one, and the music he hears on it makes him long to try the rock ’n’ roll life.
He’s especially enamored of Angus Scattergood, a legendary rocker whose voice is provided by Eddie Izzard in a delightful performance. Bodi leaves Snow Mountain and largely by accident makes his way to Angus’s mansion, whose excessive security features are a comic high point of the film.
As Bodi pursues his dream, a pack of wolves pursues him; grown-ups will enjoy hearing the distinctively enraged voice of Lewis Black as the head wolf. The film, based on a Chinese graphic novel and directed by Ash Brannon, keeps its animation simple and its story lines clear, which makes it reliable fare for the 10-and-younger set. The only disappointment, given the subject, is that it’s not a full-on musical — it has musical flourishes, yes, but nothing as memorable as “Let It Go.”" 0.950865954 "Animation" "PG" "Lionsgate/Summit" "" "$3,704,749 " "$9,420,546 " "" "100" "6-Jun-03" "" "105" 15
"212" "Roman J. Israel, Esq." "11/22/2017" "11/16/2017" "http://www.nytimes.com/2017/11/16/movies/roman-j-israel-review-denzel-washington.html" 0 "Partly because of economics, partly because of a lack of imagination, Hollywood barely makes character-driven movies anymore. So there is a sense in which “Roman J. Israel, Esq.,” a wildly idiosyncratic drama about a wildly idiosyncratic lawyer, deserves not only critical leniency, but also maybe your investment.
Yet this film doesn’t do the cause many favors. It certainly doesn’t serve Denzel Washington, in a role unlike any he has played that nevertheless saddles him with a collection of tics meant to compensate for the underrealized complexity of the part. And it offers tonal whiplash for viewers, with several potentially great ideas that don’t settle into a coherent whole. The movie starts in the vein of a ruthlessly intelligent drama like “Michael Clayton” before racing through adversity, running a couple of unearned victory laps and landing just shy of a mawkish Will Smith vehicle like “Seven Pounds.”
The film was written and directed by Dan Gilroy, whose “Nightcrawler” centered on Lou Bloom (Jake Gyllenhaal), a monomaniacal cameraman whose lack of a moral compass allowed him to succeed in local television news. Roman Israel (Mr. Washington) is equally single-minded in his pursuits, but otherwise he’s Lou’s opposite: a hapless striver whose compulsions interfere with his ambitions.
Roman keeps to his office in a small Los Angeles firm. He is a whiz with briefs and apparently knows the legal code by number, but his partner is always the one who appears in court, having more tolerance for what Roman calls the “butchery” of plea deals and excessive sentences. When the partner has a heart attack, Roman, who can’t run the firm alone or stop himself from talking back to a judge, eventually takes a job with George Pierce (Colin Farrell), a high-flying lawyer who doesn’t necessarily share Roman’s ideals.
A veteran social reformer with a dated hairstyle and glasses that only exaggerate his awkwardness, Roman is almost certainly somewhere on the autism spectrum. In a performance that’s meant to grate, Mr. Washington highlights the character’s difficulty making eye contact and his habit of laughing and smiling with too much emphasis. As intriguing as it is to watch a movie about someone who is gifted yet hamstrung by his own mind, you do wonder whether — after Roman and Lou — Mr. Gilroy is capable of writing protagonists who aren’t so affectedly at odds with their environments.
The fish-out-of-water clash at the firm is absorbing enough, but the movie misfires when it appoints Roman as a sort of an angelic figure (or, as his last name may signal, a prophet). Carmen Ejogo appears as a younger civil rights advocate who, unlike the other activists we meet from her generation, recognizes Roman’s past contributions and explains that she feels privileged to know him. Roman even begins to grow on George, who inexplicably warms to him just as Roman is wreaking havoc at the firm. And when Roman makes not one but two symbolic getaways — one to Santa Monica, one to the desert — “Roman J. Israel, Esq.” seems like a movie that has no idea where it’s heading.
While “Nightcrawler” delivered its bludgeoning lecture on TV sensationalism about four decades too late, “Roman J. Israel, Esq.” goes oddly easy on the cruel bureaucracy of the legal system. Either Roman is too pure for the world of this movie or he is not. Mr. Gilroy, perhaps similarly caught between integrity and commercial calculation, gets as lost as his hero." 0.751226748 "Crime" "PG-13" "Sony / Columbia" "$22,000,000 " "" "" "" "32" "20-Jun-97" "18-Dec-97" "" NA
"213" "Romeo Is Bleeding" "7/19/2017" "7/20/2017" "http://www.nytimes.com/2017/07/20/movies/review-romeo-is-bleeding-and-shakespeare-is-relevant.html" 0 "“This ain’t got nothing to do with my life,” Donté Clark recalled thinking when, at 15, he picked up “Romeo and Juliet.” At 22, after years of seeing gang warfare and murder on the streets of his hometown, Richmond, Calif., he changed his mind. “That is our story,” he now says of the play. “It’s just told in Verona. In a different language, a different time period.”
